pid|price_tier|tags
900472|mid|cold-weather;evening;modern;compliment-getter;statement
900473|mid|evening;date-night;cold-weather;sensual
900474|mid|date-night;party;compliment-getter;youthful;pink-coded;romantic;evening
900475|mid|romantic;date-night;sensual;versatile
900476|mid|office-safe;modern;clean;versatile
900477|mid|classic;evening;cold-weather;statement;sensual;beast-mode;mature-elegant
900478|mid|cold-weather;evening;cosy;date-night
900479|mid|classic;romantic;pink-coded;mature-elegant;statement;wedding
900480|mid|evening;cold-weather;date-night;mature-elegant
900481|mid|versatile;crowd-pleaser;compliment-getter;youthful;modern;office-safe
900482|mid|evening;date-night;cold-weather;modern;youthful
900483|budget|compliment-getter;modern;versatile;date-night;blind-buy-safe
